Timestamp,Which Dog?,Indicator Value,Time-Out,Time-In,Urine,Shit,Notes
2/15/2022 14:32:31,Both,"0_Braonin, 1_Siobhan",n/a,n/a,,,s-both b-piss
2/15/2022 18:32:43,Braonin,2_Braonin,6:25:00 PM,6:30:00 PM,1_Braonin,0_Braonin,
2/15/2022 18:36:28,Siobhan,1_Siobhan,6:31:00 PM,6:36:00 PM,1_Siobhan,0_Siobhan,
2/15/2022 20:26:55,Both,"2_Braonin, 0_Siobhan",8:15:00 PM,8:26:00 PM,"1_Braonin, 1_Siobhan","1_Braonin, 0_Siobhan",
2/15/2022 23:36:08,Braonin,1_Braonin,11:23:00 PM,11:34:00 PM,1_Braonin,0_Braonin,
2/16/2022 9:55:38,Both,"1_Braonin, 1_Siobhan",7:56:00 AM,8:55:00 AM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",
2/16/2022 10:08:54,Braonin,2_Braonin,9:56:00 AM,10:08:00 AM,0_Braonin,1_Braonin,
2/16/2022 14:00:30,Braonin,1_Braonin,1:50:00 PM,1:59:00 PM,1_Braonin,0_Braonin,
2/16/2022 14:38:08,Siobhan,0_Siobhan,2:02:00 PM,2:27:00 PM,1_Siobhan,1_Siobhan,
2/16/2022 18:14:19,Both,"0_Braonin, 2_Siobhan",6:04:00 PM,6:13:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan","Small s-shit, little exercise"
2/16/2022 22:32:04,Braonin,2_Braonin,10:20:00 PM,10:31:00 PM,1_Braonin,1_Braonin,Brief play
2/17/2022 10:36:08,Siobhan,0_Siobhan,10:31:00 AM,10:36:00 AM,1_Siobhan,1_Siobhan,
2/17/2022 16:25:52,Braonin,1_Braonin,4:21:00 PM,4:25:00 PM,1_Braonin,0_Braonin,
2/17/2022 20:26:25,Both,"1_Braonin, 0_Siobhan",8:08:00 PM,8:25:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 0_Siobhan",
2/18/2022 0:24:55,Braonin,1_Braonin,12:20:00 AM,12:26:00 AM,1_Braonin,0_Braonin,Last time has socialization at around 9
2/18/2022 11:01:30,Braonin,1_Braonin,7:50:00 AM,7:55:00 AM,1_Braonin,0_Braonin,
2/18/2022 11:15:42,Both,"1_Braonin, 0_Siobhan",11:03:00 AM,11:15:00 AM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",
